BasicInfo1_lblParcelIDText,Parcel_ID
BasicInfo1_lblMuniText,Municipality
BasicInfo1_lblAddressText,Property_Address
Label13,School_District
Label15,Neighborhood_Code
Label4,Tax_Code
Label9,Recording_Date
Label5,Owner_Code
Label7,Sale_Price
Label21,State_Code
Label23,Deed_Book
Label14,Use_Code
Label3,Deed_Page
Label1,Homestead
Label22,Abatement
Label2,Farmstead
Label6,Lot_Area
Label39,Land_Value_2012_Mkt
Label19,Land_Value_2012_Cty
Label40,Building_Value_2012_Mkt
Label24,Building_Value_2012_Cty
Label41,Total_Value_2012_Mkt
Label25,Total_Value_2012_Cty
